STATISTIC Label,Quarter,Sex,NACE Rev 2 Economic Sector,Region,UNIT,VALUE
Persons aged 15-89 years in Employment,2013Q4,Male,Services (G to U),Dublin,Thousand,258.2
Persons aged 15-89 years in Employment,2013Q4,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,26.5
Persons aged 15-89 years in Employment,2013Q4,Male,Other NACE activities (R to U),Dublin,Thousand,14.6
Persons aged 15-89 years in Employment,2013Q4,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q4,Female,All NACE economic sectors,Dublin,Thousand,273.1
Persons aged 15-89 years in Employment,2013Q4,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q4,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2013Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,38.8
Persons aged 15-89 years in Employment,2013Q4,Female,Transportation and storage (H),Dublin,Thousand,6.1
Persons aged 15-89 years in Employment,2013Q4,Female,Accommodation and food service activities (I),Dublin,Thousand,17.4
Persons aged 15-89 years in Employment,2013Q4,Female,Information and communication (J),Dublin,Thousand,15.2
Persons aged 15-89 years in Employment,2013Q4,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,22.8
Persons aged 15-89 years in Employment,2013Q4,Female,Administrative and support service activities (N),Dublin,Thousand,11.8
Persons aged 15-89 years in Employment,2013Q4,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,13.2
Persons aged 15-89 years in Employment,2013Q4,Female,Education (P),Dublin,Thousand,27.3
Persons aged 15-89 years in Employment,2013Q4,Female,Human health and social work activities (Q),Dublin,Thousand,59.1
Persons aged 15-89 years in Employment,2013Q4,Female,Industry (B to E),Dublin,Thousand,14.3
Persons aged 15-89 years in Employment,2013Q4,Female,Industry and Construction (B to F),Dublin,Thousand,16
Persons aged 15-89 years in Employment,2013Q4,Female,Services (G to U),Dublin,Thousand,255.3
Persons aged 15-89 years in Employment,2013Q4,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,23.9
Persons aged 15-89 years in Employment,2013Q4,Female,Other NACE activities (R to U),Dublin,Thousand,19.7
Persons aged 15-89 years in Employment,2013Q4,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Both sexes,All NACE economic sectors,Dublin,Thousand,580.6
Persons aged 15-89 years in Employment,2014Q1,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Construction (F),Dublin,Thousand,17.4
Persons aged 15-89 years in Employment,2014Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,76.3
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Transportation and storage (H),Dublin,Thousand,30.2
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,45.8
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Information and communication (J),Dublin,Thousand,52.7
Persons aged 15-89 years in Employment,2014Q1,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,52.7
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Administrative and support service activities (N),Dublin,Thousand,26.3
Persons aged 15-89 years in Employment,2014Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,28.1
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Education (P),Dublin,Thousand,40.6
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Human health and social work activities (Q),Dublin,Thousand,77.6
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Industry (B to E),Dublin,Thousand,42.7
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Industry and Construction (B to F),Dublin,Thousand,60.1
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Services (G to U),Dublin,Thousand,517.4
Persons aged 15-89 years in Employment,2014Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,52.2
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Other NACE activities (R to U),Dublin,Thousand,34.9
Persons aged 15-89 years in Employment,2014Q1,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Male,All NACE economic sectors,Dublin,Thousand,307.1
Persons aged 15-89 years in Employment,2014Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Male,Construction (F),Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2014Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39.6
Persons aged 15-89 years in Employment,2014Q1,Male,Transportation and storage (H),Dublin,Thousand,24
Persons aged 15-89 years in Employment,2014Q1,Male,Accommodation and food service activities (I),Dublin,Thousand,27.7
Persons aged 15-89 years in Employment,2014Q1,Male,Information and communication (J),Dublin,Thousand,35.8
Persons aged 15-89 years in Employment,2014Q1,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,29.8
Persons aged 15-89 years in Employment,2014Q1,Male,Administrative and support service activities (N),Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2014Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,14.9
Persons aged 15-89 years in Employment,2014Q1,Male,Education (P),Dublin,Thousand,11.4
Persons aged 15-89 years in Employment,2014Q1,Male,Human health and social work activities (Q),Dublin,Thousand,19.8
Persons aged 15-89 years in Employment,2014Q1,Male,Industry (B to E),Dublin,Thousand,28.3
Persons aged 15-89 years in Employment,2014Q1,Male,Industry and Construction (B to F),Dublin,Thousand,44.1
Persons aged 15-89 years in Employment,2014Q1,Male,Services (G to U),Dublin,Thousand,261.2
Persons aged 15-89 years in Employment,2014Q1,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,26.9
Persons aged 15-89 years in Employment,2014Q1,Male,Other NACE activities (R to U),Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2014Q1,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Female,All NACE economic sectors,Dublin,Thousand,273.5
Persons aged 15-89 years in Employment,2014Q1,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,36.7
Persons aged 15-89 years in Employment,2014Q1,Female,Transportation and storage (H),Dublin,Thousand,6.2
Persons aged 15-89 years in Employment,2014Q1,Female,Accommodation and food service activities (I),Dublin,Thousand,18.1
Persons aged 15-89 years in Employment,2014Q1,Female,Information and communication (J),Dublin,Thousand,16.9
Persons aged 15-89 years in Employment,2014Q1,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,22.9
Persons aged 15-89 years in Employment,2014Q1,Female,Administrative and support service activities (N),Dublin,Thousand,10.7
Persons aged 15-89 years in Employment,2014Q1,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,13.1
Persons aged 15-89 years in Employment,2014Q1,Female,Education (P),Dublin,Thousand,29.2
Persons aged 15-89 years in Employment,2014Q1,Female,Human health and social work activities (Q),Dublin,Thousand,57.8
Persons aged 15-89 years in Employment,2014Q1,Female,Industry (B to E),Dublin,Thousand,14.4
Persons aged 15-89 years in Employment,2014Q1,Female,Industry and Construction (B to F),Dublin,Thousand,16
Persons aged 15-89 years in Employment,2014Q1,Female,Services (G to U),Dublin,Thousand,256.2
Persons aged 15-89 years in Employment,2014Q1,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,25.3
Persons aged 15-89 years in Employment,2014Q1,Female,Other NACE activities (R to U),Dublin,Thousand,19.3
Persons aged 15-89 years in Employment,2014Q1,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Both sexes,All NACE economic sectors,Dublin,Thousand,589.3
Persons aged 15-89 years in Employment,2014Q2,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Construction (F),Dublin,Thousand,16.9
Persons aged 15-89 years in Employment,2014Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,78.4
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Transportation and storage (H),Dublin,Thousand,32.4
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,45
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Information and communication (J),Dublin,Thousand,51
Persons aged 15-89 years in Employment,2014Q2,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,51.2
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Administrative and support service activities (N),Dublin,Thousand,27.4
Persons aged 15-89 years in Employment,2014Q2,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,29.1
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Education (P),Dublin,Thousand,42.1
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Human health and social work activities (Q),Dublin,Thousand,83.1
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Industry (B to E),Dublin,Thousand,41.2
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Industry and Construction (B to F),Dublin,Thousand,58.1
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Services (G to U),Dublin,Thousand,526.8
Persons aged 15-89 years in Employment,2014Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,54
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Other NACE activities (R to U),Dublin,Thousand,33.1
Persons aged 15-89 years in Employment,2014Q2,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Male,All NACE economic sectors,Dublin,Thousand,311.2
Persons aged 15-89 years in Employment,2014Q2,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Male,Construction (F),Dublin,Thousand,15
Persons aged 15-89 years in Employment,2014Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39.4
Persons aged 15-89 years in Employment,2014Q2,Male,Transportation and storage (H),Dublin,Thousand,24.8
Persons aged 15-89 years in Employment,2014Q2,Male,Accommodation and food service activities (I),Dublin,Thousand,27.1
Persons aged 15-89 years in Employment,2014Q2,Male,Information and communication (J),Dublin,Thousand,36.7
Persons aged 15-89 years in Employment,2014Q2,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,29.9
Persons aged 15-89 years in Employment,2014Q2,Male,Administrative and support service activities (N),Dublin,Thousand,17
Persons aged 15-89 years in Employment,2014Q2,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.7
Persons aged 15-89 years in Employment,2014Q2,Male,Education (P),Dublin,Thousand,12.5
Persons aged 15-89 years in Employment,2014Q2,Male,Human health and social work activities (Q),Dublin,Thousand,21.5
Persons aged 15-89 years in Employment,2014Q2,Male,Industry (B to E),Dublin,Thousand,26.3
Persons aged 15-89 years in Employment,2014Q2,Male,Industry and Construction (B to F),Dublin,Thousand,41.3
Persons aged 15-89 years in Employment,2014Q2,Male,Services (G to U),Dublin,Thousand,267.7
Persons aged 15-89 years in Employment,2014Q2,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,29.4
Persons aged 15-89 years in Employment,2014Q2,Male,Other NACE activities (R to U),Dublin,Thousand,13.5
Persons aged 15-89 years in Employment,2014Q2,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Female,All NACE economic sectors,Dublin,Thousand,278.1
Persons aged 15-89 years in Employment,2014Q2,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q2,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,39
Persons aged 15-89 years in Employment,2014Q2,Female,Transportation and storage (H),Dublin,Thousand,7.5
Persons aged 15-89 years in Employment,2014Q2,Female,Accommodation and food service activities (I),Dublin,Thousand,17.9
Persons aged 15-89 years in Employment,2014Q2,Female,Information and communication (J),Dublin,Thousand,14.2
Persons aged 15-89 years in Employment,2014Q2,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,21.3
Persons aged 15-89 years in Employment,2014Q2,Female,Administrative and support service activities (N),Dublin,Thousand,10.3
Persons aged 15-89 years in Employment,2014Q2,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,13.4
Persons aged 15-89 years in Employment,2014Q2,Female,Education (P),Dublin,Thousand,29.6
Persons aged 15-89 years in Employment,2014Q2,Female,Human health and social work activities (Q),Dublin,Thousand,61.6
Persons aged 15-89 years in Employment,2014Q2,Female,Industry (B to E),Dublin,Thousand,14.9
Persons aged 15-89 years in Employment,2014Q2,Female,Industry and Construction (B to F),Dublin,Thousand,16.8
Persons aged 15-89 years in Employment,2014Q2,Female,Services (G to U),Dublin,Thousand,259.1
Persons aged 15-89 years in Employment,2014Q2,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,24.6
Persons aged 15-89 years in Employment,2014Q2,Female,Other NACE activities (R to U),Dublin,Thousand,19.6
Persons aged 15-89 years in Employment,2014Q2,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Both sexes,All NACE economic sectors,Dublin,Thousand,593.4
Persons aged 15-89 years in Employment,2014Q3,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Construction (F),Dublin,Thousand,18.3
Persons aged 15-89 years in Employment,2014Q3,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,81.3
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Transportation and storage (H),Dublin,Thousand,32.7
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,43.9
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Information and communication (J),Dublin,Thousand,47.9
Persons aged 15-89 years in Employment,2014Q3,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,52.1
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Administrative and support service activities (N),Dublin,Thousand,27.6
Persons aged 15-89 years in Employment,2014Q3,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,28
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Education (P),Dublin,Thousand,41
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Human health and social work activities (Q),Dublin,Thousand,78.9
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Industry (B to E),Dublin,Thousand,43
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Industry and Construction (B to F),Dublin,Thousand,61.3
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Services (G to U),Dublin,Thousand,526.8
Persons aged 15-89 years in Employment,2014Q3,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,57.3
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Other NACE activities (R to U),Dublin,Thousand,36.1
Persons aged 15-89 years in Employment,2014Q3,Both sexes,Not stated,Dublin,Thousand,3
Persons aged 15-89 years in Employment,2014Q3,Male,All NACE economic sectors,Dublin,Thousand,314
Persons aged 15-89 years in Employment,2014Q3,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Male,Construction (F),Dublin,Thousand,16.3
Persons aged 15-89 years in Employment,2014Q3,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,40.2
Persons aged 15-89 years in Employment,2014Q3,Male,Transportation and storage (H),Dublin,Thousand,25.4
Persons aged 15-89 years in Employment,2014Q3,Male,Accommodation and food service activities (I),Dublin,Thousand,26.1
Persons aged 15-89 years in Employment,2014Q3,Male,Information and communication (J),Dublin,Thousand,32.4
Persons aged 15-89 years in Employment,2014Q3,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,29.5
Persons aged 15-89 years in Employment,2014Q3,Male,Administrative and support service activities (N),Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2014Q3,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.2
Persons aged 15-89 years in Employment,2014Q3,Male,Education (P),Dublin,Thousand,13.8
Persons aged 15-89 years in Employment,2014Q3,Male,Human health and social work activities (Q),Dublin,Thousand,20.4
Persons aged 15-89 years in Employment,2014Q3,Male,Industry (B to E),Dublin,Thousand,29.3
Persons aged 15-89 years in Employment,2014Q3,Male,Industry and Construction (B to F),Dublin,Thousand,45.6
Persons aged 15-89 years in Employment,2014Q3,Male,Services (G to U),Dublin,Thousand,265.3
Persons aged 15-89 years in Employment,2014Q3,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,31.6
Persons aged 15-89 years in Employment,2014Q3,Male,Other NACE activities (R to U),Dublin,Thousand,15
Persons aged 15-89 years in Employment,2014Q3,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Female,All NACE economic sectors,Dublin,Thousand,279.4
Persons aged 15-89 years in Employment,2014Q3,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q3,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,41.1
Persons aged 15-89 years in Employment,2014Q3,Female,Transportation and storage (H),Dublin,Thousand,7.2
Persons aged 15-89 years in Employment,2014Q3,Female,Accommodation and food service activities (I),Dublin,Thousand,17.8
Persons aged 15-89 years in Employment,2014Q3,Female,Information and communication (J),Dublin,Thousand,15.5
Persons aged 15-89 years in Employment,2014Q3,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,22.6
Persons aged 15-89 years in Employment,2014Q3,Female,Administrative and support service activities (N),Dublin,Thousand,12
Persons aged 15-89 years in Employment,2014Q3,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,12.8
Persons aged 15-89 years in Employment,2014Q3,Female,Education (P),Dublin,Thousand,27.2
Persons aged 15-89 years in Employment,2014Q3,Female,Human health and social work activities (Q),Dublin,Thousand,58.4
Persons aged 15-89 years in Employment,2014Q3,Female,Industry (B to E),Dublin,Thousand,13.8
Persons aged 15-89 years in Employment,2014Q3,Female,Industry and Construction (B to F),Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2014Q3,Female,Services (G to U),Dublin,Thousand,261.5
Persons aged 15-89 years in Employment,2014Q3,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,25.7
Persons aged 15-89 years in Employment,2014Q3,Female,Other NACE activities (R to U),Dublin,Thousand,21.1
Persons aged 15-89 years in Employment,2014Q3,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Both sexes,All NACE economic sectors,Dublin,Thousand,606.4
Persons aged 15-89 years in Employment,2014Q4,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Construction (F),Dublin,Thousand,20.7
Persons aged 15-89 years in Employment,2014Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,85.3
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Transportation and storage (H),Dublin,Thousand,30.8
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,44.7
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Information and communication (J),Dublin,Thousand,52.9
Persons aged 15-89 years in Employment,2014Q4,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,52.4
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Administrative and support service activities (N),Dublin,Thousand,27.1
Persons aged 15-89 years in Employment,2014Q4,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,29.2
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Education (P),Dublin,Thousand,42.4
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Human health and social work activities (Q),Dublin,Thousand,79.6
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Industry (B to E),Dublin,Thousand,42.9
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Industry and Construction (B to F),Dublin,Thousand,63.6
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Services (G to U),Dublin,Thousand,538.4
Persons aged 15-89 years in Employment,2014Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,58.3
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Other NACE activities (R to U),Dublin,Thousand,35.7
Persons aged 15-89 years in Employment,2014Q4,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Male,All NACE economic sectors,Dublin,Thousand,319.4
Persons aged 15-89 years in Employment,2014Q4,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Male,Construction (F),Dublin,Thousand,18.6
Persons aged 15-89 years in Employment,2014Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,42.5
Persons aged 15-89 years in Employment,2014Q4,Male,Transportation and storage (H),Dublin,Thousand,24.1
Persons aged 15-89 years in Employment,2014Q4,Male,Accommodation and food service activities (I),Dublin,Thousand,25.9
Persons aged 15-89 years in Employment,2014Q4,Male,Information and communication (J),Dublin,Thousand,35.9
Persons aged 15-89 years in Employment,2014Q4,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,29.9
Persons aged 15-89 years in Employment,2014Q4,Male,Administrative and support service activities (N),Dublin,Thousand,15.5
Persons aged 15-89 years in Employment,2014Q4,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2014Q4,Male,Education (P),Dublin,Thousand,14
Persons aged 15-89 years in Employment,2014Q4,Male,Human health and social work activities (Q),Dublin,Thousand,18.9
Persons aged 15-89 years in Employment,2014Q4,Male,Industry (B to E),Dublin,Thousand,27.8
Persons aged 15-89 years in Employment,2014Q4,Male,Industry and Construction (B to F),Dublin,Thousand,46.4
Persons aged 15-89 years in Employment,2014Q4,Male,Services (G to U),Dublin,Thousand,270.7
Persons aged 15-89 years in Employment,2014Q4,Male,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,33.1
Persons aged 15-89 years in Employment,2014Q4,Male,Other NACE activities (R to U),Dublin,Thousand,15
Persons aged 15-89 years in Employment,2014Q4,Male,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Female,All NACE economic sectors,Dublin,Thousand,286.9
Persons aged 15-89 years in Employment,2014Q4,Female,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Female,Construction (F),Dublin,Thousand,
Persons aged 15-89 years in Employment,2014Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,42.7
Persons aged 15-89 years in Employment,2014Q4,Female,Transportation and storage (H),Dublin,Thousand,6.7
Persons aged 15-89 years in Employment,2014Q4,Female,Accommodation and food service activities (I),Dublin,Thousand,18.9
Persons aged 15-89 years in Employment,2014Q4,Female,Information and communication (J),Dublin,Thousand,17
Persons aged 15-89 years in Employment,2014Q4,Female,"Professional, scientific and technical activities (M)",Dublin,Thousand,22.5
Persons aged 15-89 years in Employment,2014Q4,Female,Administrative and support service activities (N),Dublin,Thousand,11.7
Persons aged 15-89 years in Employment,2014Q4,Female,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,13.3
Persons aged 15-89 years in Employment,2014Q4,Female,Education (P),Dublin,Thousand,28.3
Persons aged 15-89 years in Employment,2014Q4,Female,Human health and social work activities (Q),Dublin,Thousand,60.7
Persons aged 15-89 years in Employment,2014Q4,Female,Industry (B to E),Dublin,Thousand,15.1
Persons aged 15-89 years in Employment,2014Q4,Female,Industry and Construction (B to F),Dublin,Thousand,17.1
Persons aged 15-89 years in Employment,2014Q4,Female,Services (G to U),Dublin,Thousand,267.7
Persons aged 15-89 years in Employment,2014Q4,Female,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,25.2
Persons aged 15-89 years in Employment,2014Q4,Female,Other NACE activities (R to U),Dublin,Thousand,20.6
Persons aged 15-89 years in Employment,2014Q4,Female,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2015Q1,Both sexes,All NACE economic sectors,Dublin,Thousand,600.1
Persons aged 15-89 years in Employment,2015Q1,Both sexes,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Construction (F),Dublin,Thousand,20.6
Persons aged 15-89 years in Employment,2015Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,80.3
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Transportation and storage (H),Dublin,Thousand,32.2
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Accommodation and food service activities (I),Dublin,Thousand,46.1
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Information and communication (J),Dublin,Thousand,51.6
Persons aged 15-89 years in Employment,2015Q1,Both sexes,"Professional, scientific and technical activities (M)",Dublin,Thousand,47.8
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Administrative and support service activities (N),Dublin,Thousand,27.7
Persons aged 15-89 years in Employment,2015Q1,Both sexes,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,28.8
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Education (P),Dublin,Thousand,40.8
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Human health and social work activities (Q),Dublin,Thousand,78
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Industry (B to E),Dublin,Thousand,45.9
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Industry and Construction (B to F),Dublin,Thousand,66.5
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Services (G to U),Dublin,Thousand,529.6
Persons aged 15-89 years in Employment,2015Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",Dublin,Thousand,56.2
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Other NACE activities (R to U),Dublin,Thousand,40.2
Persons aged 15-89 years in Employment,2015Q1,Both sexes,Not stated,Dublin,Thousand,
Persons aged 15-89 years in Employment,2015Q1,Male,All NACE economic sectors,Dublin,Thousand,318.3
Persons aged 15-89 years in Employment,2015Q1,Male,"Agriculture, forestry and fishing (A)",Dublin,Thousand,
Persons aged 15-89 years in Employment,2015Q1,Male,Construction (F),Dublin,Thousand,18.9
Persons aged 15-89 years in Employment,2015Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",Dublin,Thousand,40.4
Persons aged 15-89 years in Employment,2015Q1,Male,Transportation and storage (H),Dublin,Thousand,25.2
Persons aged 15-89 years in Employment,2015Q1,Male,Accommodation and food service activities (I),Dublin,Thousand,26.4
Persons aged 15-89 years in Employment,2015Q1,Male,Information and communication (J),Dublin,Thousand,35.9
Persons aged 15-89 years in Employment,2015Q1,Male,"Professional, scientific and technical activities (M)",Dublin,Thousand,26.7
Persons aged 15-89 years in Employment,2015Q1,Male,Administrative and support service activities (N),Dublin,Thousand,15.8
Persons aged 15-89 years in Employment,2015Q1,Male,"Public administration and defence, compulsory social security (O)",Dublin,Thousand,15.6
Persons aged 15-89 years in Employment,2015Q1,Male,Education (P),Dublin,Thousand,12.3
Persons aged 15-89 years in Employment,2015Q1,Male,Human health and social work activities (Q),Dublin,Thousand,20.9
